holiday_date,holiday_name,holiday_name_nl,holiday_name_fr
2024-01-01,New Year's Day,Nieuwjaar,Nouvel An
2024-04-01,Easter Monday,Paasmaandag,Lundi de Pâques
2024-05-01,Labour Day,Dag van de Arbeid,Fête du Travail
2024-05-09,Ascension Day,Onze-Lieve-Heer-Hemelvaart,Ascension
2024-05-20,Whit Monday,Pinkstermaandag,Lundi de Pentecôte
2024-07-21,Belgian National Day,Nationale Feestdag,Fête Nationale
2024-08-15,Assumption of Mary,Onze-Lieve-Vrouw-Hemelvaart,Assomption
2024-11-01,All Saints' Day,Allerheiligen,Toussaint
2024-11-11,Armistice Day,Wapenstilstand,Armistice
2024-12-25,Christmas Day,Kerstmis,Noël
2025-01-01,New Year's Day,Nieuwjaar,Nouvel An
2025-04-21,Easter Monday,Paasmaandag,Lundi de Pâques
2025-05-01,Labour Day,Dag van de Arbeid,Fête du Travail
2025-05-29,Ascension Day,Onze-Lieve-Heer-Hemelvaart,Ascension
2025-06-09,Whit Monday,Pinkstermaandag,Lundi de Pentecôte
2025-07-21,Belgian National Day,Nationale Feestdag,Fête Nationale
2025-08-15,Assumption of Mary,Onze-Lieve-Vrouw-Hemelvaart,Assomption
2025-11-01,All Saints' Day,Allerheiligen,Toussaint
2025-11-11,Armistice Day,Wapenstilstand,Armistice
2025-12-25,Christmas Day,Kerstmis,Noël
2026-01-01,New Year's Day,Nieuwjaar,Nouvel An
2026-04-06,Easter Monday,Paasmaandag,Lundi de Pâques
2026-05-01,Labour Day,Dag van de Arbeid,Fête du Travail
2026-05-14,Ascension Day,Onze-Lieve-Heer-Hemelvaart,Ascension
2026-05-25,Whit Monday,Pinkstermaandag,Lundi de Pentecôte
2026-07-21,Belgian National Day,Nationale Feestdag,Fête Nationale
2026-08-15,Assumption of Mary,Onze-Lieve-Vrouw-Hemelvaart,Assomption
2026-11-01,All Saints' Day,Allerheiligen,Toussaint
2026-11-11,Armistice Day,Wapenstilstand,Armistice
2026-12-25,Christmas Day,Kerstmis,Noël
2027-01-01,New Year's Day,Nieuwjaar,Nouvel An
2027-03-29,Easter Monday,Paasmaandag,Lundi de Pâques
2027-05-01,Labour Day,Dag van de Arbeid,Fête du Travail
2027-05-06,Ascension Day,Onze-Lieve-Heer-Hemelvaart,Ascension
2027-05-17,Whit Monday,Pinkstermaandag,Lundi de Pentecôte
2027-07-21,Belgian National Day,Nationale Feestdag,Fête Nationale
2027-08-15,Assumption of Mary,Onze-Lieve-Vrouw-Hemelvaart,Assomption
2027-11-01,All Saints' Day,Allerheiligen,Toussaint
2027-11-11,Armistice Day,Wapenstilstand,Armistice
2027-12-25,Christmas Day,Kerstmis,Noël
2028-01-01,New Year's Day,Nieuwjaar,Nouvel An
2028-04-17,Easter Monday,Paasmaandag,Lundi de Pâques
2028-05-01,Labour Day,Dag van de Arbeid,Fête du Travail
2028-05-25,Ascension Day,Onze-Lieve-Heer-Hemelvaart,Ascension
2028-06-05,Whit Monday,Pinkstermaandag,Lundi de Pentecôte
2028-07-21,Belgian National Day,Nationale Feestdag,Fête Nationale
2028-08-15,Assumption of Mary,Onze-Lieve-Vrouw-Hemelvaart,Assomption
2028-11-01,All Saints' Day,Allerheiligen,Toussaint
2028-11-11,Armistice Day,Wapenstilstand,Armistice
2028-12-25,Christmas Day,Kerstmis,Noël
2029-01-01,New Year's Day,Nieuwjaar,Nouvel An
2029-04-02,Easter Monday,Paasmaandag,Lundi de Pâques
2029-05-01,Labour Day,Dag van de Arbeid,Fête du Travail
2029-05-10,Ascension Day,Onze-Lieve-Heer-Hemelvaart,Ascension
2029-05-21,Whit Monday,Pinkstermaandag,Lundi de Pentecôte
2029-07-21,Belgian National Day,Nationale Feestdag,Fête Nationale
2029-08-15,Assumption of Mary,Onze-Lieve-Vrouw-Hemelvaart,Assomption
2029-11-01,All Saints' Day,Allerheiligen,Toussaint
2029-11-11,Armistice Day,Wapenstilstand,Armistice
2029-12-25,Christmas Day,Kerstmis,Noël
2030-01-01,New Year's Day,Nieuwjaar,Nouvel An
2030-04-22,Easter Monday,Paasmaandag,Lundi de Pâques
2030-05-01,Labour Day,Dag van de Arbeid,Fête du Travail
2030-05-30,Ascension Day,Onze-Lieve-Heer-Hemelvaart,Ascension
2030-06-10,Whit Monday,Pinkstermaandag,Lundi de Pentecôte
2030-07-21,Belgian National Day,Nationale Feestdag,Fête Nationale
2030-08-15,Assumption of Mary,Onze-Lieve-Vrouw-Hemelvaart,Assomption
2030-11-01,All Saints' Day,Allerheiligen,Toussaint
2030-11-11,Armistice Day,Wapenstilstand,Armistice
2030-12-25,Christmas Day,Kerstmis,Noël
